Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source,Purpose Description,Source Description,Importer Country Name,Exporter Country Name
2017,II,Micrastur mirandollei,Aves,Falconiformes,Falconidae,Micrastur,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Pionites melanocephalus,Aves,Psittaciformes,Psittacidae,Pionites,US,PE,,,9.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Pionopsitta barrabandi,Aves,Psittaciformes,Psittacidae,Pionopsitta,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Pyrrhura peruviana,Aves,Psittaciformes,Psittacidae,Pyrrhura,US,PE,,,41.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Glaucidium hardyi,Aves,Strigiformes,Strigidae,Glaucidium,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Otus watsonii,Aves,Strigiformes,Strigidae,Otus,US,PE,,,7.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Amazilia fimbriata,Aves,Apodiformes,Trochilidae,Amazilia,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Chlorostilbon notatus,Aves,Apodiformes,Trochilidae,Chlorostilbon,US,PE,,,3.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Florisuga mellivora,Aves,Apodiformes,Trochilidae,Florisuga,US,PE,,,6.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Glaucis hirsutus,Aves,Apodiformes,Trochilidae,Glaucis,US,PE,,,10.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Heliodoxa aurescens,Aves,Apodiformes,Trochilidae,Heliodoxa,US,PE,,,8.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Hylocharis cyanus,Aves,Apodiformes,Trochilidae,Hylocharis,US,PE,,,3.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Leucippus chlorocercus,Aves,Apodiformes,Trochilidae,Leucippus,US,PE,,,4.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Phaethornis atrimentalis,Aves,Apodiformes,Trochilidae,Phaethornis,US,PE,,,3.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
2017,II,Phaethornis bourcieri,Aves,Apodiformes,Trochilidae,Phaethornis,US,PE,,,30.0,specimens,,S,W,Scientific,Specimens taken from the wild.,United States of America,Peru
